id,player_name,14-15_games,14-15_mins_played,14-15_goals,14-15_goals_per_90,14-15_npg,14-15_npg_per_90,14-15_xG,14-15_xG_per_90,14-15_npxG,14-15_npxG_per_90,14-15_assists,14-15_assists_per_90,14-15_xA,14-15_xA_per_90,14-15_xGChain,14-15_xGChain_per_90,14-15_xGBuildup,14-15_xGBuildup_per_90,14-15_shots,14-15_shots_per_90,14-15_key_passes,14-15_key_passes_per_90,14-15_yellow_cards,14-15_red_cards,14-15_team,14-15_league
1513,Mauro Icardi,36,2897,22,0.6834656541249569,18,0.5591991715567829,20.0405349470675,0.6225916966641611,16.234040889889002,0.5043367898136037,6,0.18639972385226097,4.607649671845138,0.1431441044066491,23.24298907443881,0.722081124162752,4.910617297515273,0.1525562847001638,121,3.7590610976872627,34,1.0562651018294789,4,0,Inter,Serie_A
1955,Luca Toni,38,3228,22,0.6133828996282528,18,0.5018587360594795,21.20476857945323,0.5912110198732313,16.63697560504079,0.46385619716656473,2,0.055762081784386616,2.9142517521977425,0.08125237227317125,18.81056160479784,0.5244580373084899,3.106041894294321,0.08659968106768554,125,3.4851301115241635,27,0.7527881040892193,3,0,Verona,Serie_A
3848,Carlos Tévez,32,2594,20,0.6939090208172707,18,0.6245181187355435,13.372144434601068,0.4639525825420571,10.327028889209032,0.3583009252231352,7,0.24286815728604472,5.016579711809754,0.17405249578368462,20.007632218301296,0.6941738240736764,8.90753672271967,0.3090510042578143,114,3.9552814186584424,61,2.1164225134926755,6,0,Juventus,Serie_A
1293,Gonzalo Higuaín,37,2786,18,0.5814788226848528,15,0.4845656855707107,21.097411520779133,0.6815387784889168,15.768319822847843,0.5093857803504328,7,0.22613065326633167,4.082173843868077,0.13187209115151718,22.71157662756741,0.7336833799285954,4.917353065684438,0.15885203729777436,113,3.6503948312993537,49,1.5829145728643217,5,0,Napoli,Serie_A
2014,Jérémy Menez,33,2713,16,0.5307777368227055,8,0.26538886841135273,10.936868623830378,0.36281539850524663,4.846598354168236,0.1607791566071291,4,0.13269443420567636,4.379691986367106,0.14529018753152953,13.755915867164733,0.4563333682435776,6.889687442686409,0.2285557942653066,78,2.5875414670106895,46,1.5259859933652784,3,1,AC Milan,Serie_A
1383,Manolo Gabbiadini,33,1837,15,0.7348938486663037,15,0.7348938486663037,6.800542115233839,0.3331784378720988,6.800542115233839,0.3331784378720988,3,0.14697876973326074,4.417004995979369,0.21640198673823796,10.329794333316386,0.5060868209028169,3.19258803781122,0.15641422068753938,87,4.262384322264562,32,1.5677735438214482,5,0,"Napoli,Sampdoria",Serie_A
1612,Domenico Berardi,32,2700,15,0.5,9,0.30000000000000004,12.36861006822437,0.41228700227414566,7.039558225311339,0.2346519408437113,10,0.33333333333333337,5.605741487815976,0.18685804959386587,14.382553394883873,0.4794184464961291,5.761783210560679,0.19205944035202263,95,3.166666666666667,48,1.6,13,1,Sassuolo,Serie_A
1888,Antonio Di Natale,33,2388,14,0.5276381909547738,13,0.4899497487437186,7.981888828799128,0.3008249558592636,7.220589963719249,0.27213278757735865,7,0.2638190954773869,5.763606561347842,0.21722135281461716,10.204479798674583,0.384590947186228,0.9013021672144532,0.0339686746437608,76,2.864321608040201,58,2.185929648241206,4,0,Udinese,Serie_A
1185,Iago Falque,32,2369,13,0.4938792739552553,11,0.41789784719290846,9.2512801066041,0.3514627309389485,7.728682436048984,0.29361815924204665,3,0.11397214014352046,4.478685908019543,0.17014847265587119,15.056407999247313,0.5720036808494124,5.32973524928093,0.20248044425296904,62,2.3554242296327565,48,1.8235542422963273,6,0,Genoa,Serie_A
1230,Fabio Quagliarella,34,2810,13,0.41637010676156583,10,0.32028469750889677,12.63739600405097,0.40475645564576057,10.353499498218298,0.3316067454945362,4,0.12811387900355872,5.061527685262263,0.16211298636071303,14.62171956151724,0.46831130268204685,1.977236760314554,0.0633278677680818,124,3.9715302491103204,37,1.1850533807829182,3,0,Torino,Serie_A
1294,Paulo Dybala,34,2972,13,0.39367429340511434,10,0.3028263795423957,16.08828896470368,0.4871958300213093,13.80447238869965,0.4180358394962882,10,0.3028263795423957,5.27936016023159,0.15987295236232946,21.39678017795086,0.6479509475153356,7.618318795226514,0.2307027898958231,117,3.54306864064603,58,1.756393001345895,3,0,Palermo,Serie_A
1878,Miroslav Klose,34,1828,13,0.6400437636761488,13,0.6400437636761488,11.33358507975936,0.5579992654148481,11.33358507975936,0.5579992654148481,6,0.29540481400437635,4.195739805698395,0.20657362281884875,16.795615192502737,0.8269175970050582,3.697895733639598,0.18206270023389706,38,1.8708971553610503,22,1.0831509846827134,5,0,Lazio,Serie_A
1382,José Callejón,38,2974,11,0.3328850033624748,11,0.3328850033624748,10.127578787505628,0.30648355443023084,10.127578787505628,0.30648355443023084,3,0.09078681909885676,6.018208951689303,0.18212468246537905,23.40731094777584,0.7083584348688049,10.030327338725328,0.30354050453439124,84,2.5420309347679892,58,1.7552118359112305,1,0,Napoli,Serie_A
1642,Simone Zaza,31,2597,11,0.3812090874085483,10,0.346553715825953,10.17419253475964,0.35259042284496256,8.651594804599881,0.2998242327354599,2,0.0693107431651906,1.856889994814992,0.06435121275831701,11.206028249114752,0.3883490729381316,1.6126222051680088,0.05588602174244158,77,2.6684636118598384,14,0.48517520215633425,11,0,Sassuolo,Serie_A
1147,Cyril Théréau,37,2476,10,0.36348949919224555,10,0.36348949919224555,6.998357839882374,0.254382958638697,6.998357839882374,0.254382958638697,0,0.0,1.6587732816115022,0.06029466694064426,11.675082703121006,0.4243769964785503,4.885954619385302,0.17759931976764023,50,1.817447495961228,24,0.8723747980613893,3,0,Udinese,Serie_A
1207,Marco Parolo,34,3009,10,0.29910269192422734,10,0.29910269192422734,5.637843886390328,0.16862942830678948,5.637843886390328,0.16862942830678948,2,0.05982053838484546,1.7709344876930118,0.05296912724904323,12.886943457648158,0.38545194788578735,7.551661330275238,0.2258722232385415,65,1.9441674975074774,30,0.897308075772682,9,1,Lazio,Serie_A
