Year,Home_Team,Home_Score,Home_Team_wkts_lost,Away_Team,Away_Score,Away_Team_wkts_lost,Result,Winner,Bat_First_Win,Bat_Second_Win,Home_Team_Win,Away_Team_Win
2017,AUDLEY END & LITTLEBURY CC,100,3,ASHWELL CC,,,ABANDONED,,,,False,False
2017,ASHWELL CC,186,4,AUDLEY END & LITTLEBURY CC,184,10,ASHWELL CC WON  BY 6 WICKETS,ASHWELL CC,False,True,True,False
2017,LINTON VILLAGE CC,65,2,ELMDON CC,59,10,LINTON VILLAGE CC WON  BY 8 WICKETS,LINTON VILLAGE CC,False,True,True,False
2017,ELMDON CC,221,1,LINTON VILLAGE CC,222,3,LINTON VILLAGE CC WON  BY 7 WICKETS,LINTON VILLAGE CC,False,True,False,True
2017,LINTON VILLAGE CC,65,2,ELMDON CC,59,10,LINTON VILLAGE CC WON  BY 8 WICKETS,LINTON VILLAGE CC,False,True,True,False
2017,ELMDON CC,221,1,LINTON VILLAGE CC,222,3,LINTON VILLAGE CC WON  BY 7 WICKETS,LINTON VILLAGE CC,False,True,False,True
2017,AUDLEY END & LITTLEBURY CC,100,3,ASHWELL CC,,,ABANDONED,,,,False,False
2017,ASHWELL CC,186,4,AUDLEY END & LITTLEBURY CC,184,10,ASHWELL CC WON  BY 6 WICKETS,ASHWELL CC,False,True,True,False
2018,ASHWELL CC,,,AUDLEY END & LITTLEBURY CC,,,AUDLEY END & LITTLEBURY CC CONCEDED,,,,False,False
2018,AUDLEY END & LITTLEBURY CC,,,GREAT CHISHILL CC,,,AUDLEY END & LITTLEBURY CC CONCEDED,,,,False,False
2018,AUDLEY END & LITTLEBURY CC,197,6,ASHWELL CC,192,10,AUDLEY END & LITTLEBURY CC WON  BY 4 WICKETS,AUDLEY END & LITTLEBURY CC,False,True,True,False
2018,GREAT CHISHILL CC,292,5,AUDLEY END & LITTLEBURY CC,105,10,GREAT CHISHILL CC WON  BY 187 RUNS,GREAT CHISHILL CC,True,False,True,False
2018,AUDLEY END & LITTLEBURY CC,,,GREAT CHISHILL CC,,,AUDLEY END & LITTLEBURY CC CONCEDED,,,,False,False
2018,ASHWELL CC,215,10,GREAT CHISHILL CC,291,7,GREAT CHISHILL CC WON  BY 76 RUNS,GREAT CHISHILL CC,True,False,False,True
2018,GREAT CHISHILL CC,292,5,AUDLEY END & LITTLEBURY CC,105,10,GREAT CHISHILL CC WON  BY 187 RUNS,GREAT CHISHILL CC,True,False,True,False
2018,GREAT CHISHILL CC,176,10,ASHWELL CC,177,7,ASHWELL CC WON  BY 3 WICKETS,ASHWELL CC,False,True,False,True
2018,ELMDON CC,178,10,LITTLE SHELFORD CC,255,7,LITTLE SHELFORD CC WON  BY 77 RUNS,LITTLE SHELFORD CC,True,False,False,True
2018,LITTLE SHELFORD CC,98,4,ELMDON CC,97,10,LITTLE SHELFORD CC WON  BY 6 WICKETS,LITTLE SHELFORD CC,False,True,True,False
2018,ELMDON CC,178,10,LITTLE SHELFORD CC,255,7,LITTLE SHELFORD CC WON  BY 77 RUNS,LITTLE SHELFORD CC,True,False,False,True
2018,LITTLE SHELFORD CC,98,4,ELMDON CC,97,10,LITTLE SHELFORD CC WON  BY 6 WICKETS,LITTLE SHELFORD CC,False,True,True,False
2018,ASHWELL CC,,,AUDLEY END & LITTLEBURY CC,,,AUDLEY END & LITTLEBURY CC CONCEDED,,,,False,False
2018,ASHWELL CC,215,10,GREAT CHISHILL CC,291,7,GREAT CHISHILL CC WON  BY 76 RUNS,GREAT CHISHILL CC,True,False,False,True
2018,AUDLEY END & LITTLEBURY CC,197,6,ASHWELL CC,192,10,AUDLEY END & LITTLEBURY CC WON  BY 4 WICKETS,AUDLEY END & LITTLEBURY CC,False,True,True,False
2018,GREAT CHISHILL CC,176,10,ASHWELL CC,177,7,ASHWELL CC WON  BY 3 WICKETS,ASHWELL CC,False,True,False,True
2019,AUDLEY END & LITTLEBURY CC,,,ASHWELL CC,,,CANCELLED,,,,False,False
2019,LITTLE SHELFORD CC,238,8,AUDLEY END & LITTLEBURY CC,164,8,LITTLE SHELFORD CC WON  BY 74 RUNS,LITTLE SHELFORD CC,True,False,True,False
2019,AUDLEY END & LITTLEBURY CC,,,GREAT CHISHILL CC,,,CANCELLED,,,,False,False
2019,LINTON VILLAGE CC,140,8,AUDLEY END & LITTLEBURY CC,139,10,LINTON VILLAGE CC WON  BY 2 WICKETS,LINTON VILLAGE CC,False,True,True,False
2019,ASHWELL CC,132,10,AUDLEY END & LITTLEBURY CC,53,10,ASHWELL CC WON  BY 79 RUNS,ASHWELL CC,True,False,True,False
2019,AUDLEY END & LITTLEBURY CC,211,8,LITTLE SHELFORD CC,91,10,AUDLEY END & LITTLEBURY CC WON  BY 120 RUNS,AUDLEY END & LITTLEBURY CC,True,False,True,False
2019,GREAT CHISHILL CC,208,7,AUDLEY END & LITTLEBURY CC,209,6,AUDLEY END & LITTLEBURY CC WON  BY 4 WICKETS,AUDLEY END & LITTLEBURY CC,False,True,False,True
2019,AUDLEY END & LITTLEBURY CC,,,LINTON VILLAGE CC,,,CANCELLED,,,,False,False
2019,GREAT CHISHILL CC,92,10,LITTLE SHELFORD CC,108,10,LITTLE SHELFORD CC WON  BY 16 RUNS,LITTLE SHELFORD CC,True,False,False,True
2019,AUDLEY END & LITTLEBURY CC,,,GREAT CHISHILL CC,,,CANCELLED,,,,False,False
2019,ASHWELL CC,266,4,GREAT CHISHILL CC,186,10,ASHWELL CC WON  BY 80 RUNS,ASHWELL CC,True,False,True,False
2019,LINTON VILLAGE CC,170,10,GREAT CHISHILL CC,234,8,GREAT CHISHILL CC WON  BY 64 RUNS,GREAT CHISHILL CC,True,False,False,True
2019,LITTLE SHELFORD CC,191,5,GREAT CHISHILL CC,157,10,LITTLE SHELFORD CC WON  BY 34 RUNS,LITTLE SHELFORD CC,True,False,True,False
2019,GREAT CHISHILL CC,208,7,AUDLEY END & LITTLEBURY CC,209,6,AUDLEY END & LITTLEBURY CC WON  BY 4 WICKETS,AUDLEY END & LITTLEBURY CC,False,True,False,True
2019,GREAT CHISHILL CC,201,10,ASHWELL CC,204,6,ASHWELL CC WON  BY 3 RUNS,ASHWELL CC,True,False,False,True
2019,GREAT CHISHILL CC,233,6,LINTON VILLAGE CC,174,10,GREAT CHISHILL CC WON  BY 59 RUNS,GREAT CHISHILL CC,True,False,True,False
2019,LINTON VILLAGE CC,39,2,ASHWELL CC,36,10,LINTON VILLAGE CC WON  BY 8 WICKETS,LINTON VILLAGE CC,False,True,True,False
2019,LITTLE SHELFORD CC,,,LINTON VILLAGE CC,,,CANCELLED,,,,False,False
2019,LINTON VILLAGE CC,140,8,AUDLEY END & LITTLEBURY CC,139,10,LINTON VILLAGE CC WON  BY 2 WICKETS,LINTON VILLAGE CC,False,True,True,False
2019,LINTON VILLAGE CC,170,10,GREAT CHISHILL CC,234,8,GREAT CHISHILL CC WON  BY 64 RUNS,GREAT CHISHILL CC,True,False,False,True
2019,ASHWELL CC,229,10,LINTON VILLAGE CC,115,10,ASHWELL CC WON  BY 114 RUNS,ASHWELL CC,True,False,True,False
2019,LINTON VILLAGE CC,162,2,LITTLE SHELFORD CC,160,8,LINTON VILLAGE CC WON  BY 8 WICKETS,LINTON VILLAGE CC,False,True,True,False
2019,AUDLEY END & LITTLEBURY CC,,,LINTON VILLAGE CC,,,CANCELLED,,,,False,False
2019,GREAT CHISHILL CC,233,6,LINTON VILLAGE CC,174,10,GREAT CHISHILL CC WON  BY 59 RUNS,GREAT CHISHILL CC,True,False,True,False
2019,GREAT CHISHILL CC,92,10,LITTLE SHELFORD CC,108,10,LITTLE SHELFORD CC WON  BY 16 RUNS,LITTLE SHELFORD CC,True,False,False,True
2019,LITTLE SHELFORD CC,238,8,AUDLEY END & LITTLEBURY CC,164,8,LITTLE SHELFORD CC WON  BY 74 RUNS,LITTLE SHELFORD CC,True,False,True,False
